split,sample_id,source_group,noise_index,timestep_index,noise_seed,t,winner_full_residual,winner_mask_residual,winner_boundary_residual,winner_outside_residual,winner_pred_norm,winner_target_norm,winner_noise_norm,winner_z0_norm,loser_full_residual,loser_mask_residual,loser_boundary_residual,loser_outside_residual,loser_pred_norm,loser_target_norm,loser_noise_norm,loser_z0_norm
train32,BLENDER_MOUNTAIN011_00001,BLENDER_MOUNTAIN011,3,1,20297227,0.35,0.05477254465222359,0.14739486575126648,0.16605201363563538,0.048520952463150024,798.8114624023438,792.2003173828125,571.8684692382812,549.6677856445312,0.0552566759288311,0.17192059755325317,0.16859829425811768,0.04843989759683609,796.4340209960938,790.4168701171875,571.8684692382812,547.1317138671875
train32,BLENDER_MOUNTAIN011_00001,BLENDER_MOUNTAIN011,3,2,20297227,0.55,0.025257183238863945,0.10310172289609909,0.10489562153816223,0.020591190084815025,794.3289184570312,792.2003173828125,571.8684692382812,549.6677856445312,0.028722301125526428,0.19397474825382233,0.15196341276168823,0.020673755556344986,792.5184326171875,790.4168701171875,571.8684692382812,547.1317138671875
train32,BLENDER_MOUNTAIN011_00001,BLENDER_MOUNTAIN011,3,3,20297227,0.75,0.014915031380951405,0.07515666633844376,0.07221778482198715,0.011504572816193104,792.7982177734375,792.2003173828125,571.8684692382812,549.6677856445312,0.020891331136226654,0.2304164320230484,0.17756640911102295,0.011575937271118164,791.9129028320312,790.4168701171875,571.8684692382812,547.1317138671875
train32,BLENDER_MOUNTAIN009_00001,BLENDER_MOUNTAIN009,0,0,20270717,0.15,0.22789521515369415,0.33260050415992737,0.31547608971595764,0.22691360116004944,795.6702880859375,764.664306640625,572.9757690429688,505.0505065917969,0.011381611227989197,0.29970818758010864,0.276813805103302,0.008406589739024639,761.3102416992188,765.0680541992188,572.9757690429688,505.586669921875
train32,BLENDER_MOUNTAIN009_00001,BLENDER_MOUNTAIN009,0,1,20270717,0.35,0.04641500115394592,0.20555947721004486,0.2296721190214157,0.044361013919115067,769.698486328125,764.664306640625,572.9757690429688,505.0505065917969,0.005165386945009232,0.17130784690380096,0.17136892676353455,0.0033025413285940886,765.0397338867188,765.0680541992188,572.9757690429688,505.586669921875
train32,BLENDER_MOUNTAIN009_00001,BLENDER_MOUNTAIN009,0,2,20270717,0.55,0.020291008055210114,0.21301600337028503,0.18560634553432465,0.018438119441270828,765.37646484375,764.664306640625,572.9757690429688,505.0505065917969,0.0037696154322475195,0.17201992869377136,0.16853827238082886,0.001922852243296802,764.1892700195312,765.0680541992188,572.9757690429688,505.586669921875
train32,BLENDER_MOUNTAIN009_00001,BLENDER_MOUNTAIN009,0,3,20270717,0.75,0.011626760475337505,0.18994922935962677,0.13994239270687103,0.010188570246100426,763.0827026367188,764.664306640625,572.9757690429688,505.0505065917969,0.0035590962506830692,0.25204330682754517,0.1977849155664444,0.0013821707107126713,762.7166748046875,765.0680541992188,572.9757690429688,505.586669921875
train32,BLENDER_MOUNTAIN009_00001,BLENDER_MOUNTAIN009,1,0,20279890,0.15,0.2279990166425705,0.35051068663597107,0.31951263546943665,0.22697332501411438,795.1566772460938,764.5498046875,571.67724609375,505.0505065917969,0.011155948042869568,0.27607086300849915,0.2607278525829315,0.00835869275033474,761.1057739257812,764.9838256835938,571.67724609375,505.586669921875
train32,BLENDER_MOUNTAIN009_00001,BLENDER_MOUNTAIN009,1,1,20279890,0.35,0.04636986926198006,0.22881391644477844,0.23087458312511444,0.04430190101265907,769.3502197265625,764.5498046875,571.67724609375,505.0505065917969,0.00507712084800005,0.1881643831729889,0.16747117042541504,0.003256973112002015,764.8350219726562,764.9838256835938,571.67724609375,505.586669921875
train32,BLENDER_MOUNTAIN009_00001,BLENDER_MOUNTAIN009,1,2,20279890,0.55,0.02031581476330757,0.23726317286491394,0.19276617467403412,0.018382953479886055,764.8524169921875,764.5498046875,571.67724609375,505.0505065917969,0.003687681397423148,0.18736723065376282,0.16581842303276062,0.0018704845570027828,763.6763916015625,764.9838256835938,571.67724609375,505.586669921875
