recipe,tensor,module_group,shape,numel,mean_abs_delta,max_abs_delta,delta_norm,param_norm,delta_param_norm_ratio,zero_delta
ema,blocks.9.attn1.to_q.weight,blocks.9,1536x1536,2359296,7.163857507208604e-09,4.76837158203125e-06,0.00017228973371916908,56.233445914803454,3.0638302689149403e-06,False
ema,blocks.9.attn1.to_v.bias,blocks.9,1536,1536,5.8925554213828946e-08,4.76837158203125e-06,1.4021192970233461e-05,0.16631230603844344,8.430640704908587e-05,False
ema,blocks.9.attn1.to_v.weight,blocks.9,1536x1536,2359296,7.649783917429431e-09,4.76837158203125e-06,0.00018238703796640013,55.010155312451175,3.315515779413092e-06,False
ema,blocks.9.ffn.net.0.proj.bias,blocks.9,8960,8960,3.3527611797978807e-09,4.76837158203125e-06,9.034774456737717e-06,2.290718599205199,3.94407870956674e-06,False
ema,blocks.9.ffn.net.0.proj.weight,blocks.9,8960x1536,13762560,9.011793977720117e-09,5.245208740234375e-06,0.0004762922242848881,114.32189255425882,4.166238098786099e-06,False
ema,blocks.9.ffn.net.2.bias,blocks.9,1536,1536,2.6154642895903635e-08,4.76837158203125e-06,8.394738145569922e-06,0.4516807097836058,1.8585558257675302e-05,False
ema,blocks.9.ffn.net.2.weight,blocks.9,1536x8960,13762560,1.1223833418227969e-08,5.245208740234375e-06,0.0005472181388915169,103.4481725989517,5.289780622930568e-06,False
ema,blocks.9.scale_shift_table,blocks.9,1x6x1536,9216,1.9944448013120564e-06,4.384666681289673e-06,0.00020502369872883267,4.64784208699842,4.411158875261896e-05,False
ema,condition_embedder.time_embedder.linear_1.bias,condition_embedder.time_embedder,1536,1536,1.5408946865136386e-06,4.161614924669266e-06,7.597211448490437e-05,0.15578311665563505,0.0004876787428278005,False
ema,condition_embedder.time_embedder.linear_1.weight,condition_embedder.time_embedder,1536x256,393216,1.7191842971442384e-06,4.526227712631226e-06,0.0012582486243788273,9.817021391266398,0.000128170101116219,False
ema,condition_embedder.time_embedder.linear_2.bias,condition_embedder.time_embedder,1536,1536,1.8901969269791152e-06,4.250090569257736e-06,8.674334420303464e-05,0.31042718080128023,0.000279432181095907,False
ema,condition_embedder.time_embedder.linear_2.weight,condition_embedder.time_embedder,1536x1536,2359296,1.8421631011733552e-06,4.675239324569702e-06,0.0032437981053340167,9.855334824942213,0.00032914133948287315,False
ema,condition_embedder.time_proj.bias,condition_embedder.time_proj,9216,9216,3.126559988686495e-08,4.76837158203125e-06,2.5161090535399268e-05,1.8661257226832568,1.3483062919901915e-05,False
ema,condition_embedder.time_proj.weight,condition_embedder.time_proj,9216x1536,14155776,2.5256310820509498e-08,6.67572021484375e-06,0.0008603927314507989,59.50939559483444,1.445809897497041e-05,False
ema,patch_embedding.bias,patch_embedding.bias,1536,1536,3.3372391516905964e-09,2.384185791015625e-06,2.8635053990994247e-06,2.925605880717208,9.787734629506767e-07,False
ema,patch_embedding.weight,patch_embedding.weight,1536x48x1x2x2,294912,1.0592279409138428e-07,5.245208740234375e-06,0.00025491180527607626,10.153378124609986,2.5106107755229778e-05,False
ema,proj_out.bias,proj_out.bias,64,64,1.4901161193847656e-08,9.5367431640625e-07,9.5367431640625e-07,0.06873796395585573,1.3874055347418144e-05,False
ema,proj_out.weight,proj_out.weight,64x1536,98304,2.2799589771693718e-08,5.245208740234375e-06,7.030035583516267e-05,6.55577600327581,1.072342249033891e-05,False
ema,scale_shift_table,scale_shift_table,1x2x1536,3072,1.8108142967321328e-06,4.552304744720459e-06,0.00011459413438257876,5.472447306247299,2.0940198775735698e-05,False
