sample_id,status,num_frames,propagation_coverage,average_confidence,avg_num_sources_used,propagated_region_psnr,full_mask_prop_psnr,failure_reason
youtubevos_000053_04fbad476e,ok,16,0.04219599594744369,0.04120378568768501,0.30186331272125244,23.777761142341248,27.822187212112865,
youtubevos_000054_04fe256562,ok,16,0.004359935770096676,0.004089136142283678,0.014259287156164646,26.961322802799167,49.02591284480326,
youtubevos_000055_0503bf89c9,ok,16,0.05064864765679474,0.047146398574113846,0.22877903282642365,25.58402945664929,32.22553878040376,
youtubevos_000056_0536c9eed0,ok,16,0.026296070364890164,0.03310767933726311,0.3668869733810425,19.733564144255496,20.228086010224736,
youtubevos_000057_054acb238f,ok,16,0.002850165551993879,0.003687499789521098,0.04261891916394234,24.06250438720874,36.16272509234555,
youtubevos_000058_05579ca250,ok,16,0.029232107858216366,0.034209318459033966,0.29078301787376404,17.14343542338343,23.571851789320256,
youtubevos_000059_056c200404,ok,16,0.02996187243696798,0.03133278712630272,0.20590008795261383,26.728053831412115,30.875508661016955,
youtubevos_000060_05774f3a2c,ok,16,0.05625681112394812,0.05186765268445015,0.19343386590480804,30.60891658490646,40.44659676436253,
youtubevos_000061_058a7592c8,ok,16,0.0455760972342605,0.04381340742111206,0.2944335639476776,20.757269568021748,26.84966197619805,
youtubevos_000062_05a0a513df,ok,16,0.021373210270973848,0.019324127584695816,0.0865972489118576,23.49273232828501,35.864609296299676,
youtubevos_000063_05a569d8aa,ok,16,0.006460150250591312,0.009096645750105381,0.13064299523830414,14.043312582551108,22.5660894616786,
youtubevos_000064_05aa652648,ok,16,0.03621923508875791,0.03409186378121376,0.12469202280044556,38.069190546429795,49.596029328966615,
youtubevos_000065_05d7715782,ok,16,0.05206126051793373,0.04478006809949875,0.2089335173368454,25.670043281106135,34.23139732503312,
youtubevos_000066_05e0b0f28f,ok,16,0.050008979545540476,0.04750532656908035,0.21586355566978455,27.483998878615488,32.17734134313769,
youtubevos_000067_05ffcfed85,ok,16,0.05294115960067567,0.04968691244721413,0.3184671700000763,20.320575538153705,24.407225833582267,
