model_label,video,frames,whole_video_psnr,whole_video_ssim,mask_region_psnr,mask_region_ssim,strict_mask_pixel_psnr,boundary_pixel_psnr,outside_diff_mean,outside_diff_max,whole_video_lpips,ewarp,flow_conf_mean,valid_flow_ratio,mean_flow_magnitude,gate_mean,gate_p10,gate_p50,gate_p90,nonzero_gate_ratio
Exp11_boundary_outer_b075_S2,flamingo,24,33.964540694816954,0.9882886292774389,22.650445432948526,0.8352227038684825,20.113903249756774,23.973969810757186,0.0,0.0,0.008087344584055245,3.624338403587108,,,,,,,,
Exp11_boundary_outer_b075_S2,soccerball,24,23.69818309823199,0.9391139814058125,15.755375591390196,0.6186797349424258,12.509250189616024,20.008721313427937,0.0,0.0,0.03156951698474586,7.4487824964782465,,,,,,,,
Exp11_boundary_outer_b075_S2,camel,24,25.51525257399618,0.9386770678532006,20.121545862933274,0.7442400608093576,17.695622782391457,23.28953308335335,0.0,0.0,0.035036393130819,12.952676893252393,,,,,,,,
Exp11_boundary_outer_b075_S2,car-roundabout,24,33.8725190258354,0.9950875131169113,21.53168696550172,0.9019069764157409,19.582567156810708,23.167452889399414,0.0,0.0,0.005253910610917956,15.080843890166802,,,,,,,,
Exp19b_stage2_500,boat,24,26.525226919607988,0.9316645683907522,20.394329453541957,0.7419086784640049,18.649969929741314,25.926263776707504,0.0,0.0,0.03937955185150107,3.0754058237147075,0.603135347366333,0.7948475480079651,1.0923269987106323,0.00417461059987545,0.0,0.0,0.0,0.007050942163914442
Exp19b_stage2_500,rhino,24,26.314211026093403,0.945504044211901,18.35572500107183,0.65348808914506,15.476414311640681,24.482636057287,0.0,0.0,0.025939527666196227,3.096773795297612,0.7947921752929688,0.8696542382240295,1.3999476432800293,0.003528141649439931,0.0,0.0,0.0,0.005747251212596893
Exp19b_stage2_500,dog-agility,24,27.03674267006295,0.9574512321334784,20.366734687453178,0.7523310128905679,17.335760503473555,26.656268523547112,0.0,0.0,0.023938551739168663,23.183122196275253,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
Exp19b_stage2_500,blackswan,24,32.89453208340486,0.967347805537304,24.49038038256352,0.7693515365773874,21.8555481025122,27.192723630948933,0.0,0.0,0.017299654078669846,4.843370088011674,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898
Exp19b_stage2_500,lucia,24,34.035633551138346,0.9874103992501283,22.693100885287098,0.8343972392939145,19.387079716531016,25.154277924920404,0.0,0.0,0.008856985989647606,5.889389582950137,0.8371973037719727,0.9044797420501709,4.068275451660156,0.0021414111834019423,0.0,0.0,0.0,0.0037270125467330217
Exp19b_stage2_500,dance-jump,24,34.43692692332559,0.9820340448724375,26.339595268656762,0.8839210110278364,22.70981173928259,26.723559165316725,0.0,0.0,0.01116024136232833,4.111825670723034,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
Exp19b_stage2_500,flamingo,24,33.96404853310012,0.9882872863433846,22.64995327123169,0.8352281197476702,20.11341108803994,23.972649399808613,0.0,0.0,0.008088477712590247,3.624346269213635,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646
Exp19b_stage2_500,soccerball,24,23.698268818305767,0.93911369748353,15.755461311463973,0.6186815123745781,12.509335909689801,20.00935192484815,0.0,0.0,0.031570686493068933,7.448734391642653,0.8154722452163696,0.8702831864356995,0.530766487121582,0.004123906139284372,0.0,0.0,0.0,0.005925684701651335
Exp19b_stage2_500,camel,24,25.51309405792323,0.9386567976554344,20.119387346860325,0.7441517291214955,17.69346426631851,23.289887513844814,0.0,0.0,0.03503864537924528,12.952958355131358,0.69745934009552,0.779870331287384,2.495544672012329,0.003717071143910289,0.0,0.0,0.0,0.006655896548181772
