loss,t,weight_mean,target_norm,pred_norm,mask_latent_ratio,boundary_latent_ratio,affected_outside_latent_ratio,near_outside_latent_ratio,grad_norm,grad_max_abs,grad_tensors,worker,recipe,recipe_family,step,lr,scope,sample_id,finite,mask_weight,boundary_weight,affected_weight,outside_weight,far_outside_weight,hard_noise_schedule,runtime_report_file
0.21343901753425598,0.19,0.24576666951179504,741.45556640625,694.5172119140625,0.1826171875,0.07148437947034836,0.0031250000465661287,0.03632812574505806,0.8193338219327425,0.10302734375,461,gpu0_ab,SFTmA_S0_lr3em05,SFT-A,21,3e-05,S0,BLENDER_FOREST024_00001,True,1.0,1.25,0.75,0.1,0.02,False,/home/hj/H20_Video_inpainting_DPO_exp40_minimax_psnr_safe/reports/exp40_sft_psnr_safe_grid_runtime/exp40_minimax_sft_psnr_safe_grid_gpu0_ab_diagnostics.csv
0.15256960690021515,0.29,0.1319751739501953,765.929931640625,744.788330078125,0.03076171875,0.0625,0.06425781548023224,0.03173828125,1.0836134179994483,0.09130859375,461,gpu0_ab,SFTmA_S0_lr3em05,SFT-A,22,3e-05,S0,BLENDER_FOREST025_00001,True,1.0,1.25,0.75,0.1,0.02,False,/home/hj/H20_Video_inpainting_DPO_exp40_minimax_psnr_safe/reports/exp40_sft_psnr_safe_grid_runtime/exp40_minimax_sft_psnr_safe_grid_gpu0_ab_diagnostics.csv
0.08667004108428955,0.39,0.04783592373132706,692.7142333984375,676.0634765625,0.00815429724752903,0.02163085900247097,0.0064453124068677425,0.013916015625,0.8813968941666159,0.06640625,461,gpu0_ab,SFTmA_S0_lr3em05,SFT-A,23,3e-05,S0,BLENDER_FOREST026_00020,True,1.0,1.25,0.75,0.1,0.02,False,/home/hj/H20_Video_inpainting_DPO_exp40_minimax_psnr_safe/reports/exp40_sft_psnr_safe_grid_runtime/exp40_minimax_sft_psnr_safe_grid_gpu0_ab_diagnostics.csv
0.05677688494324684,0.49,0.06149294599890709,725.537841796875,718.5980224609375,0.00927734375,0.03461914137005806,0.0030761719681322575,0.02534179762005806,0.7289055428829966,0.036865234375,461,gpu0_ab,SFTmA_S0_lr3em05,SFT-A,24,3e-05,S0,BLENDER_FOREST028_00001,True,1.0,1.25,0.75,0.1,0.02,False,/home/hj/H20_Video_inpainting_DPO_exp40_minimax_psnr_safe/reports/exp40_sft_psnr_safe_grid_runtime/exp40_minimax_sft_psnr_safe_grid_gpu0_ab_diagnostics.csv
0.10447307676076889,0.59,0.09143417328596115,744.7338256835938,738.7623291015625,0.036376953125,0.04135742411017418,0.01787109486758709,0.02163085900247097,0.6020675332375579,0.0167236328125,461,gpu0_ab,SFTmA_S0_lr3em05,SFT-A,25,3e-05,S0,BLENDER_FOREST029_00001,True,1.0,1.25,0.75,0.1,0.02,False,/home/hj/H20_Video_inpainting_DPO_exp40_minimax_psnr_safe/reports/exp40_sft_psnr_safe_grid_runtime/exp40_minimax_sft_psnr_safe_grid_gpu0_ab_diagnostics.csv
0.17508013546466827,0.19,0.49957725405693054,782.7974853515625,750.0188598632812,0.34038087725639343,0.13911132514476776,0.10986328125,0.06728515774011612,0.8924017214679052,0.0263671875,461,gpu0_ab,SFTmA_S0_lr3em05,SFT-A,26,3e-05,S0,BLENDER_FOREST030_00001,True,1.0,1.25,0.75,0.1,0.02,False,/home/hj/H20_Video_inpainting_DPO_exp40_minimax_psnr_safe/reports/exp40_sft_psnr_safe_grid_runtime/exp40_minimax_sft_psnr_safe_grid_gpu0_ab_diagnostics.csv
0.1745598167181015,0.29,0.12519168853759766,689.1769409179688,674.026123046875,0.04399413987994194,0.04990234598517418,0.04951171949505806,0.02695312537252903,1.123201640174086,0.06612829864025116,461,gpu0_ab,SFTmA_S0_lr3em05,SFT-A,27,3e-05,S0,BLENDER_FOREST034_00001,True,1.0,1.25,0.75,0.1,0.02,False,/home/hj/H20_Video_inpainting_DPO_exp40_minimax_psnr_safe/reports/exp40_sft_psnr_safe_grid_runtime/exp40_minimax_sft_psnr_safe_grid_gpu0_ab_diagnostics.csv
0.06286856532096863,0.39,0.03860318660736084,669.0390014648438,649.3408813476562,0.0038574219215661287,0.01450195349752903,0.0044921874068677425,0.010644531808793545,0.624833737520983,0.05615234375,461,gpu0_ab,SFTmA_S0_lr3em05,SFT-A,28,3e-05,S0,BLENDER_FOREST049_00001,True,1.0,1.25,0.75,0.1,0.02,False,/home/hj/H20_Video_inpainting_DPO_exp40_minimax_psnr_safe/reports/exp40_sft_psnr_safe_grid_runtime/exp40_minimax_sft_psnr_safe_grid_gpu0_ab_diagnostics.csv
0.04332960397005081,0.49,0.028347015380859375,768.75146484375,759.7503051757812,0.001708984375,0.006103515625,0.002197265625,0.00439453125,0.6918248824674693,0.042724609375,461,gpu0_ab,SFTmA_S0_lr3em05,SFT-A,29,3e-05,S0,BLENDER_GRASS001_00001,True,1.0,1.25,0.75,0.1,0.02,False,/home/hj/H20_Video_inpainting_DPO_exp40_minimax_psnr_safe/reports/exp40_sft_psnr_safe_grid_runtime/exp40_minimax_sft_psnr_safe_grid_gpu0_ab_diagnostics.csv
0.0444667749106884,0.59,0.23943813145160675,743.68896484375,746.8675537109375,0.11728515475988388,0.049072265625,0.11044921725988388,0.02568359486758709,0.3705422681403239,0.01806640625,461,gpu0_ab,SFTmA_S0_lr3em05,SFT-A,30,3e-05,S0,BLENDER_GRASS002_00001,True,1.0,1.25,0.75,0.1,0.02,False,/home/hj/H20_Video_inpainting_DPO_exp40_minimax_psnr_safe/reports/exp40_sft_psnr_safe_grid_runtime/exp40_minimax_sft_psnr_safe_grid_gpu0_ab_diagnostics.csv
