sample_id,source_type,scene_group,mask_bucket,status,classification,classification_reason,full_psnr,full_ssim,mask_psnr,mask_ssim,boundary_psnr,boundary_ssim,outside_psnr,outside_l1,mask_l1,mask_residual_to_condition_l1,lpips,lpips_status,tc_absdiff_mean,tc_absdiff_max,tc_absdiff_over_winner,ewarp_proxy,black_frame_ratio,output_frames,output_resolution,mask_non_empty_frames,output_path,review_sheet,crop_sheet,error
REAL_ENV900_00017_001_01,REAL,REAL_ENV900_00017,large,OK,BASELINE_USABLE,finite local quality with bounded outside damage,28.351906824882413,0.7801107948209033,27.02146819264078,0.766035653926708,27.228364475963545,0.8090170268659238,28.73390306343175,6.699700702855616,8.391612235410713,33.02620748826015,nan,unavailable,1.3761166870594024,2.742368698120117,0.12493437633384019,2.104422074556351,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00017_001_01/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00017_001_01.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00017_001_01.jpg,
REAL_ENV900_00018_005_05,REAL,REAL_ENV900_00018,large,OK,BASELINE_USABLE,finite local quality with bounded outside damage,26.158668359017913,0.897056840820077,22.363223111909928,0.8270619136315805,25.01936296052876,0.891313146661829,28.152587951026543,7.2749667815220205,11.837475223305784,107.086016619647,nan,unavailable,5.340450350567698,8.289888381958008,-0.5604264713823799,7.214990973472595,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00018_005_05/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00018_005_05.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00018_005_05.jpg,
REAL_ENV900_00019_002_01,REAL,REAL_ENV900_00019,large,OK,BASELINE_MIXED,usable on some signals but not clearly strong,26.994040186816793,0.9049501374915794,25.064262641146485,0.858252438498132,27.624679838007715,0.9073422727761445,27.441890678790717,8.06786330540975,8.12008445645556,111.93039788140192,nan,unavailable,1.887880526855588,3.3088490962982178,-0.09534851489588614,2.660094511508942,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00019_002_01/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00019_002_01.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00019_002_01.jpg,
REAL_ENV900_00020_002_01,REAL,REAL_ENV900_00020,large,OK,BASELINE_MIXED,usable on some signals but not clearly strong,21.865128658438202,0.8383129761542802,23.42564249620426,0.8501947978396475,23.607499516991982,0.8492373544492839,21.578177497357785,17.789030263453355,15.12392892955262,98.81387564576703,nan,unavailable,1.1355418868362903,2.0561773777008057,-0.3644145288504661,1.5084394931793212,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00020_002_01/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00020_002_01.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00020_002_01.jpg,
REAL_ENV900_00021_004_03,REAL,REAL_ENV900_00021,small,OK,BASELINE_MIXED,usable on some signals but not clearly strong,23.936613655764145,0.9246890125451265,11.589326078975676,0.3723694685800576,11.357189039818838,0.5174655325618791,24.824213859852286,7.989180865111174,48.98612764146593,66.54556585241247,nan,unavailable,5.984218599647283,10.875792503356934,-0.13462276458740252,8.323679149150848,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00021_004_03/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00021_004_03.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00021_004_03.jpg,
REAL_ENV900_00022_006_05,REAL,REAL_ENV900_00022,large,OK,BASELINE_WEAK,low fidelity or large outside damage,16.719735927717267,0.21497037362905197,16.398145988295358,0.16052105599715386,15.798487781535158,0.11552758133153856,16.784579772641433,28.983136259479288,30.15644516179591,55.15329940230758,nan,unavailable,20.51500286459923,27.23428726196289,-5.485703141521661,21.08092803955078,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00022_006_05/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00022_006_05.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00022_006_05.jpg,
REAL_ENV900_00024_002_01,REAL,REAL_ENV900_00024,large,OK,BASELINE_MIXED,usable on some signals but not clearly strong,20.49772721249168,0.702049747661308,20.079733436973118,0.6572812015627637,21.147815137986303,0.6567744414011637,20.588772324098855,14.365936432355715,17.25220004423165,80.09779395586179,nan,unavailable,4.904104319959879,8.736227989196777,-0.3472152186557649,6.751542425155639,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00024_002_01/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00024_002_01.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00024_002_01.jpg,
REAL_ENV900_00025_001_01,REAL,REAL_ENV900_00025,small,OK,BASELINE_MIXED,usable on some signals but not clearly strong,24.65921671983355,0.8460541794329514,12.568812885622735,0.19238878620995414,15.10650803348325,0.25412883048440205,25.6416757000401,7.504030704498291,47.82479806593907,50.63935739022714,nan,unavailable,2.5359585843980312,4.506308555603027,0.22447663778439164,3.636569893360138,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00025_001_01/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00025_001_01.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00025_001_01.jpg,
REAL_ENV900_00026_006_03,REAL,REAL_ENV900_00026,large,OK,BASELINE_MIXED,usable on some signals but not clearly strong,19.24355303076088,0.7788906546286595,13.528503835880569,0.34634016141479396,15.096397409893466,0.5365439712265392,25.425919554461018,7.583068959506941,40.17657287032516,65.8247681605963,nan,unavailable,5.003675714693964,8.314833641052246,-0.6095759702846406,7.695372855663299,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00026_006_03/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00026_006_03.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00026_006_03.jpg,
REAL_ENV900_00027_001_03,REAL,REAL_ENV900_00027,medium,OK,BASELINE_MIXED,usable on some signals but not clearly strong,21.269026829548128,0.5805753292860808,22.515319737528905,0.6107225086953905,22.55886945567416,0.6239630259849407,21.21235415721035,15.756903565960165,14.70307093490789,81.78116692437067,nan,unavailable,2.7514640927314757,6.548465728759766,0.9660593389999121,3.2711121797561646,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00027_001_03/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00027_001_03.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00027_001_03.jpg,
REAL_ENV900_00028_002_01,REAL,REAL_ENV900_00028,medium,OK,BASELINE_WEAK,low fidelity or large outside damage,16.21407025087146,0.7015321291523215,17.612363158859104,0.5824464382948699,17.014610738861805,0.6058897802859177,16.162195037440597,25.072178852410964,23.993758849155757,69.3472912164382,nan,unavailable,2.2159705139696597,3.4333791732788086,0.43111778160091485,3.0909474968910216,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00028_002_01/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00028_002_01.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00028_002_01.jpg,
REAL_ENV900_00029_002_01,REAL,REAL_ENV900_00029,small,OK,BASELINE_WEAK,low fidelity or large outside damage,18.86002559501369,0.5184811155001322,17.14509318967477,0.0877478661728494,16.013494720222138,0.17529463786401867,18.920299404719593,19.98628001742893,28.317032590324494,64.66643189795224,nan,unavailable,9.325397211313248,15.013749122619629,-0.5977801809087389,10.488510704040527,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00029_002_01/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00029_002_01.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00029_002_01.jpg,
REAL_ENV900_00030_005_03,REAL,REAL_ENV900_00030,medium,OK,BASELINE_MIXED,usable on some signals but not clearly strong,24.075971934659325,0.6848924204155251,22.307409115335076,0.6001876452822744,22.620877623234456,0.577541580170761,24.30508006132607,10.423495634102528,13.183898207582073,48.45670003066828,nan,unavailable,8.286688239127397,12.236809730529785,-0.31117973932996534,11.137902736663818,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00030_005_03/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00030_005_03.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00030_005_03.jpg,
REAL_ENV900_00032_001_04,REAL,REAL_ENV900_00032,large,OK,BASELINE_WEAK,low fidelity or large outside damage,16.37635989731913,0.5834207027046768,14.672984852851933,0.530781481736972,16.103562024324106,0.5888400445749731,18.634499448991345,20.855399379023797,35.43411028826678,58.82275117473838,nan,unavailable,4.388462110236287,7.088563442230225,-2.326286746561527,5.994485521316529,0.0,81,832x480,81,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/outputs/REAL_ENV900_00032_001_04/raw_output.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/review_sheets/REAL_ENV900_00032_001_04.jpg,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp33_effecterase_vor_eval_baseline/vor_eval_official81_compat_20260627_134945/reports/exp33_effecterase_vor_eval_official81_visual_review_assets/crop_sheets/REAL_ENV900_00032_001_04.jpg,
