split,sample_id,source_group,profile,noise_index,timestep_index,noise_seed,t,winner_full_residual,winner_mask_residual,winner_boundary_residual,winner_affected_residual,winner_local_residual,winner_outside_residual,winner_pred_norm,winner_target_norm,winner_noise_norm,winner_z0_norm,loser_full_residual,loser_mask_residual,loser_boundary_residual,loser_affected_residual,loser_local_residual,loser_outside_residual,loser_pred_norm,loser_target_norm,loser_noise_norm,loser_z0_norm,winner_local_score,loser_local_score,preference_margin_proxy,preference_violation_proxy,outside_sanity_residual,gradient_proxy_norm
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,L2_object_medium,3,6,20288147,0.8,0.14534829556941986,0.10973399877548218,0.2596181631088257,0.49704766273498535,0.494552880525589,0.019627587869763374,744.631591796875,757.262451171875,573.2400512695312,495.32012939453125,0.14638690650463104,0.1963050216436386,0.20954793691635132,0.5018826127052307,0.4989025890827179,0.0196059737354517,739.1181640625,748.82373046875,573.2400512695312,482.4098205566406,0.7365907430648804,0.802961602807045,0.06637085974216461,-0.06637085974216461,0.019627587869763374,1.2672502537439438
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,L2_object_medium,3,7,20288147,0.95,0.12035761028528214,0.6481372714042664,0.5022366046905518,0.41972610354423523,0.41937798261642456,0.014279731549322605,737.1581420898438,757.262451171875,573.2400512695312,495.32012939453125,0.11099383980035782,0.299984872341156,0.2279319018125534,0.38271939754486084,0.38095349073410034,0.014266793616116047,736.3246459960938,748.82373046875,573.2400512695312,482.4098205566406,1.3189816772937775,0.7966702207922935,-0.5223114565014839,0.5223114565014839,0.014279731549322605,1.6241808257049322
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,L2_object_medium,4,0,20297320,0.05,2.8336827754974365,0.4644104242324829,1.068244457244873,4.900279998779297,4.860448837280273,1.8231277465820312,1031.028564453125,757.8165283203125,572.1791381835938,495.32012939453125,2.838679075241089,0.826505720615387,1.118220329284668,4.943387508392334,4.903812885284424,1.8172770738601685,1025.592041015625,749.4168701171875,572.1791381835938,482.4098205566406,5.898812651634216,6.329003393650055,0.4301907420158386,-0.4301907420158386,1.8231277465820312,3.5578092679765887
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,L2_object_medium,4,1,20297320,0.15,1.4224481582641602,0.15507808327674866,0.5905348658561707,3.9448044300079346,3.91023850440979,0.4168216288089752,891.69482421875,757.8165283203125,572.1791381835938,495.32012939453125,1.426643967628479,0.4283767342567444,0.670326828956604,3.9626176357269287,3.928384304046631,0.4164392948150635,884.625244140625,749.4168701171875,572.1791381835938,482.4098205566406,4.3951499462127686,4.726157784461975,0.33100783824920654,-0.33100783824920654,0.4168216288089752,3.0744618340327383
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,L2_object_medium,4,2,20297320,0.25,0.910643994808197,0.07835549116134644,0.4242539405822754,2.882009983062744,2.856755256652832,0.17718225717544556,832.0225219726562,757.8165283203125,572.1791381835938,495.32012939453125,0.9162330627441406,0.23371805250644684,0.5193119049072266,2.903791666030884,2.879251718521118,0.176930233836174,824.1722412109375,749.4168701171875,572.1791381835938,482.4098205566406,3.1724924445152283,3.397165670990944,0.22467322647571564,-0.22467322647571564,0.17718225717544556,2.6065938199078675
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,L2_object_medium,4,3,20297320,0.35,0.5824728012084961,0.0527924969792366,0.3186085522174835,1.924284815788269,1.9078233242034912,0.09511948376893997,792.7395629882812,757.8165283203125,572.1791381835938,495.32012939453125,0.5964986681938171,0.16451063752174377,0.425758421421051,1.9794005155563354,1.9635295867919922,0.09509608149528503,785.7869262695312,749.4168701171875,572.1791381835938,482.4098205566406,2.1363815888762474,2.3567903637886047,0.22040877491235733,-0.22040877491235733,0.09511948376893997,2.1710782407774274
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,L2_object_medium,4,4,20297320,0.5,0.3263671398162842,0.043284643441438675,0.2336619794368744,1.1002730131149292,1.091392993927002,0.048849597573280334,762.181640625,757.8165283203125,572.1791381835938,495.32012939453125,0.33843013644218445,0.16244466602802277,0.3437786102294922,1.1477288007736206,1.1395474672317505,0.048689257353544235,755.6077880859375,749.4168701171875,572.1791381835938,482.4098205566406,1.260388646274805,1.4820627719163895,0.2216741256415844,-0.2216741256415844,0.048849597573280334,1.7216635977544448
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,L2_object_medium,4,5,20297320,0.65,0.20722822844982147,0.04654868319630623,0.20888707041740417,0.7040455937385559,0.6990223526954651,0.029650017619132996,750.3092041015625,757.8165283203125,572.1791381835938,495.32012939453125,0.21433988213539124,0.17727717757225037,0.27442577481269836,0.732064425945282,0.7273945808410645,0.02954217791557312,743.5354614257812,749.4168701171875,572.1791381835938,482.4098205566406,0.8550378121435642,1.0465544909238815,0.1915166787803173,-0.1915166787803173,0.029650017619132996,1.4467580937557472
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,L2_object_medium,4,6,20297320,0.8,0.14403079450130463,0.0931079089641571,0.24664707481861115,0.4919230341911316,0.4893595576286316,0.019747912883758545,745.1636352539062,757.8165283203125,572.1791381835938,495.32012939453125,0.14520707726478577,0.18376308679580688,0.20606650412082672,0.497246116399765,0.4942898452281952,0.019761020317673683,739.8038330078125,749.4168701171875,572.1791381835938,482.4098205566406,0.7083544805645943,0.7840424552559853,0.07568797469139099,-0.07568797469139099,0.019761020317673683,1.252231971526031
train32,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,L2_object_medium,4,7,20297320,0.95,0.1184302568435669,0.589480996131897,0.4957142770290375,0.41182634234428406,0.41164979338645935,0.014372698962688446,737.8641357421875,757.8165283203125,572.1791381835938,495.32012939453125,0.1108497902750969,0.3233925998210907,0.24458523094654083,0.3822396397590637,0.3805789053440094,0.014368160627782345,737.2351684570312,749.4168701171875,572.1791381835938,482.4098205566406,1.2491644769906998,0.8279248550534248,-0.42123962193727493,0.42123962193727493,0.014372698962688446,1.5806103106020153
