video,label,psnr,ssim,mask_bbox_psnr,strict_mask_psnr,boundary_psnr,lpips,ewarp,residual_scale,confidence_exponent,psnr_delta_vs_exp11,ewarp_delta_vs_exp11,lpips_delta_vs_exp11,strict_mask_psnr_delta_vs_exp11,boundary_psnr_delta_vs_exp11,flow_flow_conf_mean,flow_valid_flow_ratio,flow_mean_flow_magnitude,flow_gate_mean,flow_gate_p10,flow_gate_p50,flow_gate_p90,flow_nonzero_gate_ratio
car-roundabout,Exp19R0,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447
dance-jump,Exp19R0,34.43677746597448,0.9820325647871025,26.339445811305634,22.709662281931468,26.724128110059045,0.011160518818845352,4.111839002808151,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
dog-agility,Exp19R0,27.03661402832424,0.9574493071279648,20.366606045714473,17.33563186173485,26.656202544663557,0.023938843165524304,23.183665238320827,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
flamingo,Exp19R0,33.964230488040165,0.988288022254174,22.65013522617174,20.113593042979986,23.972636321068222,0.008092871265641103,3.6243590445298213,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646
blackswan,Exp19R0,32.895038091720025,0.9673486787417235,24.49088639087869,21.85605411082737,27.193158804949615,0.017299579029592376,4.843387398463877,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898
car-roundabout,Exp19R0,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447
dance-jump,Exp19R0,34.436965146826786,0.9820337456229492,26.339633492157944,22.70984996278378,26.72374098389588,0.011161317505563298,4.111717131150805,0.5,0.5,0.00018768085230647102,-0.00012187165734545147,7.986867179461676e-07,0.00018768085231357645,-0.00038712616316516346,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
dog-agility,Exp19R0,27.03690676201869,0.9574514986183901,20.366898779408917,17.335924595429294,26.655789215734575,0.02393546634508918,23.184194917912066,0.5,0.5,0.00029273369444737796,0.0005296795912386187,-3.376820435125466e-06,0.00029273369444382524,-0.0004133289289818265,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
flamingo,Exp19R0,33.96461628574115,0.9882891424821532,22.650521023872724,20.113978840680968,23.973759109937152,0.008090399962384254,3.624336733280317,0.5,0.5,0.00038579770098579047,-2.23112495043587e-05,-2.4713032568488696e-06,0.00038579770098223776,0.0011227888689298027,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646
blackswan,Exp19R0,32.89452433679282,0.967345424079193,24.490372635951484,21.85554035590016,27.19233632655789,0.017292195504220825,4.843387864125164,0.5,0.5,-0.0005137549272049569,4.6566128730773926e-07,-7.383525371551514e-06,-0.0005137549272085096,-0.0008224783917256673,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898
car-roundabout,Exp19R0,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447
dance-jump,Exp19R0,34.43690451965008,0.9820329816744295,26.339572864981225,22.709789335607066,26.723858926142714,0.011158512478383878,4.1117689005382685,0.5,1.0,0.0001270536755981766,-7.010226988235502e-05,-2.0063404614738267e-06,0.0001270536755981766,-0.0002691839163304621,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
dog-agility,Exp19R0,27.036785946557966,0.9574487517505078,20.36677796394819,17.335803779968572,26.65589150271349,0.023932788831492264,23.18383842382742,0.5,1.0,0.00017191823372542103,0.00017318550659339849,-6.054334032040004e-06,0.00017191823372186832,-0.00031104195006648183,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
flamingo,Exp19R0,33.96494763049425,0.9882896701190832,22.65085236862582,20.114310185434068,23.973580359188478,0.008090239639083544,3.624306930957929,0.5,1.0,0.0007171424540857174,-5.211357189205401e-05,-2.631626557558775e-06,0.0007171424540821647,0.0009440381202558967,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646
blackswan,Exp19R0,32.89430720791807,0.9673464225376277,24.490155507076732,21.85532322702541,27.19327286162392,0.01730007693792383,4.843461863777559,0.5,1.0,-0.0007308838019568498,7.44653136823814e-05,4.979083314538002e-07,-0.0007308838019604025,0.00011405667430608446,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898
car-roundabout,Exp19R0,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447
dance-jump,Exp19R0,34.437366367432254,0.9820352502449291,26.34003471276341,22.710251183389246,26.723436745722015,0.01116113259922713,4.111703930665617,0.5,2.0,0.0005889014577746821,-0.00013507214253394295,6.137803817782977e-07,0.0005889014577782348,-0.000691364337029654,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
dog-agility,Exp19R0,27.036961413971994,0.957453623929781,20.366953431362223,17.3359792473826,26.65546275336021,0.023933116268987458,23.18320018441781,0.5,2.0,0.0003473856477533843,-0.00046505390301732064,-5.726896536845799e-06,0.0003473856477498316,-0.0007397913033457826,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
flamingo,Exp19R0,33.9649818930584,0.9882894957515292,22.650886631189973,20.114344447998217,23.97380896487905,0.008092804385038713,3.624289205459797,0.5,2.0,0.0007514050182351184,-6.983907002444667e-05,-6.688060238957405e-08,0.0007514050182315657,0.0011726438108290438,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646
blackswan,Exp19R0,32.895124583152985,0.9673484334342327,24.49097288231165,21.856140602260325,27.19333133038602,0.017292497175124783,4.843435898099257,0.5,2.0,8.649143295968997e-05,4.849963537978397e-05,-7.081854467592963e-06,8.649143295613726e-05,0.0001725254364046691,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898
car-roundabout,Exp19R0,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447
dance-jump,Exp19R0,34.43659589880122,0.9820323089598312,26.33926424413238,22.709480714758215,26.722874328041396,0.011159367471312484,4.111915320643912,1.0,0.5,-0.00018156717325723548,7.631783576123041e-05,-1.1513475328683853e-06,-0.00018156717325368277,-0.00125378201764903,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
dog-agility,Exp19R0,27.036520005885933,0.9574491311637106,20.36651202327616,17.33553783929654,26.655322037717127,0.023929503746330738,23.183545097708702,1.0,0.5,-9.40224383079169e-05,-0.00012014061212539673,-9.339419193565845e-06,-9.402243831146961e-05,-0.0008805069464301596,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
flamingo,Exp19R0,33.96452750272484,0.9882889560786839,22.650432240856407,20.11389005766466,23.97299480476198,0.008090207333831737,3.624279477188121,1.0,0.5,0.0002970146846763555,-7.956734170022628e-05,-2.6639318093657494e-06,0.0002970146846728028,0.00035848369375912625,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646
blackswan,Exp19R0,32.89437523901708,0.9673441532902238,24.49022353817574,21.855391258124417,27.19291474191226,0.017300732627821464,4.843343322610726,1.0,0.5,-0.0006628527029448605,-4.407585315124862e-05,1.1535982290880598e-06,-0.000662852702951966,-0.00024406303735347024,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898
car-roundabout,Exp19R0,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447
