trial_id,family,radius_mode,radius_value,adaptive_k,boundary_contribution,aggregation,seed,train_steps,psnr,ssim,lpips,vfid_or_fvd,tc,ewarp,mask_psnr,boundary_psnr,delta_vs_sft,delta_vs_exp11_s1,delta_vs_exp11_s2,loser_degrade_ratio,max_grad_norm,target_reached,status,checkpoint_path
EQ_RB08,equal_step,fixed_image_px,24.0,0.0,2.0,region_balanced,20260619,,29.361331549847684,0.968911249694713,0.017950044173630886,0.22690416990848883,0.9760388979769271,11.998562088395019,17.056020257335252,22.925615134810013,0.18799554984768463,0.027790549847683366,0.005959549847684542,0.0,9.504680284491728,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/EQ_RB08_dedc22769ee47bc3/last_weights
AD04,adaptive,adaptive_sqrt_area,0.0,0.103897,2.0,legacy_global_weighted_mean,20260619,,29.35988112541409,0.9689238884689968,0.017983619234655635,0.22792625962182544,0.9761425255109435,12.014499845621607,17.054569832901667,22.917903668700323,0.18654512541409218,0.02634012541409092,0.004509125414092097,1.0,10.503585960943807,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/AD04_7ec6adc15d491420/last_weights
AD06,adaptive,adaptive_sqrt_area,0.0,0.207794,2.0,legacy_global_weighted_mean,20260619,,29.359513083755512,0.9688867135175027,0.018167803079753263,0.22889773947549186,0.9760847758987675,11.998574862089932,17.054201791243084,22.9066082865071,0.18617708375551345,0.025972083755512188,0.004141083755513364,1.0,9.815963775719252,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/AD06_df1df790bdb64f00/last_weights
BF02,second_fixed_bestfirst,fixed_image_px,22.0,0.0,4.0,legacy_global_weighted_mean,20260619,,29.359382365323423,0.968829096202725,0.018277567464489646,0.22959757151949045,0.9760465144139269,11.986450744623891,17.054071072810995,22.90867202458464,0.1860463653234241,0.02584136532342285,0.0040103653234240255,0.0,8.967294114136584,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/BF02_17a73e7dfb4ed068/last_weights
RB08,region_balanced,fixed_image_px,24.0,0.0,2.0,region_balanced,20260619,,29.35932254839541,0.9689039043013623,0.017981030593849333,0.22743796991750553,0.9760559970593972,11.999265986204314,17.054011255882983,22.919800043012355,0.1859865483954124,0.025781548395411136,0.003950548395412312,0.0,9.442233748788382,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB08_8e5827c5e2a564dd/last_weights
AD03,adaptive,adaptive_area_perimeter,0.0,0.510769,2.0,legacy_global_weighted_mean,20260619,,29.359069096273863,0.9688954967729657,0.018110779747075867,0.22854041856530882,0.9760987805607526,12.004063569293066,17.053757803761435,22.91006327443975,0.18573309627386436,0.0255280962738631,0.0036970962738642754,1.0,9.759281922067805,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/AD03_19587bca10027637/last_weights
AD02,adaptive,adaptive_area_perimeter,0.0,0.340513,2.0,legacy_global_weighted_mean,20260619,,29.358742712027663,0.9689155284796744,0.018003357991498582,0.22808614597314625,0.9761299968737622,12.013275462184378,17.053431419515235,22.916690288082737,0.1854067120276639,0.025201712027662637,0.0033707120276638136,1.0,10.283822481356967,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/AD02_c9b90175c014b4dd/last_weights
P1,first_wave,fixed_image_px,4,,,,,103,29.358342436060227,0.9689840594257904,0.017875984961089365,0.22670052754506154,0.9761712643439355,12.030603197197944,17.0530311435478,22.893528829839468,0.18500643606022749,0.024801436060226223,0.0029704360602273994,,15.072014235857988,False,,
F18,second_fixed_roots,,,,,,,,29.358250933090893,0.9687231797377511,0.018458197725825205,0.2305875898404084,0.9759058136007059,11.958543041818421,17.052939640578465,22.943761881083528,0.18491493309089435,0.024709933090893088,0.0028789330908942645,,,False,,
AD05,adaptive,adaptive_sqrt_area,0.0,0.138529,2.0,legacy_global_weighted_mean,20260619,,29.357825798086964,0.9689004705460579,0.018045687453801897,0.2285500619994627,0.9760848768055439,12.00994509971402,17.052514505574536,22.91298961251237,0.18448979808696464,0.024284798086963377,0.0024537980869645537,1.0,10.108649712812737,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/AD05_917b961bbf133603/last_weights
AD01,adaptive,adaptive_area_perimeter,0.0,0.255385,2.0,legacy_global_weighted_mean,20260619,,29.357016583359123,0.9689202978430257,0.017931277809717962,0.2271187046434351,0.9761192962203338,12.020402713381412,17.051705290846694,22.91645629376831,0.18368058335912352,0.023475583359122254,0.0016445833591234305,1.0,10.971719144111962,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/AD01_ec1a39add453d4e6/last_weights
F02,second_fixed_roots,fixed_image_px,12.0,0.0,2.0,legacy_global_weighted_mean,20260619,,29.356832844724483,0.9688941632894954,0.017972663859230426,0.22766929624474042,0.9761493309684423,12.014072676285412,17.051521552212055,22.917449088647377,0.18349684472448402,0.023291844724482758,0.001460844724483934,1.0,10.488128885911214,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/F02_49618e0880c07715/last_weights
RB10,region_balanced,fixed_image_px,28.0,0.0,2.5,region_balanced,20260619,,29.356687112123225,0.9688665119204005,0.018082037057562655,0.22878990663790244,0.9759891732879307,11.99149642355263,17.051375819610794,22.91461979040338,0.1833511121232263,0.023146112123225038,0.0013151121232262142,0.0,10.309865434320066,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB10_d26c032fb2306161/last_weights
Exp11_outer_b075_S2,first_wave,,,,,,,,29.355372445221406,0.9685540035183984,0.018211129419796634,0.21597125955356233,0.9760500352991663,11.93946833645105,17.050061152708977,22.95323323872845,0.1820364452214065,0.021831445221405232,4.4522140640879115e-07,,,False,,
BF06,second_fixed_bestfirst,fixed_image_px,28.0,0.0,3.5,legacy_global_weighted_mean,20260619,,29.35471016407087,0.9687979507309734,0.018317155027640787,0.22920803107527288,0.9760100023578042,11.985880220337371,17.049398871558445,22.898726298644778,0.1813741640708706,0.02116916407086933,-0.0006618359291294951,0.0,9.80104408025797,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/BF06_4d347115c275f20e/last_weights
BF04,second_fixed_bestfirst,fixed_image_px,32.0,0.0,3.5,legacy_global_weighted_mean,20260619,,29.354698888426693,0.9687872938983256,0.018368706272061292,0.22978525546331952,0.9759602856052958,11.982222534915426,17.04938759591427,22.89487429549922,0.181362888426694,0.02115788842669275,-0.0006731115733060733,0.0,10.6733747251368,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/BF04_ca54616606d8b044/last_weights
F17,second_fixed_roots,,,,,,,,29.35406952435012,0.9687714486668775,0.018374438524309276,0.22957519607725363,0.9759854224065077,11.978039477625039,17.048758231837688,22.89784354676839,0.1807335243501207,0.020528524350119426,-0.0013024756498793977,,,False,,
RB09,region_balanced,fixed_image_px,28.0,0.0,1.5,region_balanced,20260619,,29.353811876873102,0.9688893184818371,0.017885801640659338,0.22586328195316518,0.9760644301448179,12.00845299694186,17.048500584360678,22.912110267536786,0.1804758768731034,0.02027087687310214,-0.0015601231268966842,0.0,11.192222676433737,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB09_5890bf972eaa4769/last_weights
F01,second_fixed_roots,fixed_image_px,12.0,0.0,1.5,legacy_global_weighted_mean,20260619,,29.35228557806697,0.9688799870783602,0.01792757182920468,0.2269682175292167,0.9761271055625832,12.019572109317739,17.04697428555454,22.910651729690112,0.17894957806696965,0.018744578066968387,-0.0030864219330304365,1.0,11.164575060577816,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/F01_e01f93aa6fd1d630/last_weights
F15,second_fixed_roots,,,,,,,,29.351988439972242,0.9688020642621411,0.018206314853766038,0.22849830115398984,0.9761346685497658,11.99327826401239,17.046677147459814,22.902962282141186,0.17865243997224312,0.018447439972241853,-0.003383560027756971,,,False,,
F08,second_fixed_roots,,,,,,,,29.35178692443649,0.9688347512089348,0.018061846976706875,0.2279377860710614,0.9761627060563669,12.0055228140779,17.046475631924057,22.911348261507616,0.1784509244364898,0.018245924436488536,-0.003585075563510287,,,False,,
F16,second_fixed_roots,,,,,,,,29.351476560105176,0.9687935523629242,0.01823403256579089,0.22860853445659624,0.9760905282328958,11.991671809561883,17.046165267592748,22.900416527770776,0.17814056010517731,0.01793556010517605,-0.003895439894822772,,,False,,
