video,model,frames,PSNR,SSIM,strict_mask_pixel_psnr,LPIPS
drift-turn,baseline,49,31.19166837866889,0.9789653537879857,18.435185733918647,
drift-turn,adapter,49,29.967180102386866,0.9725910155613784,17.21069745763663,
elephant,baseline,49,35.45882556884617,0.987237758745676,21.92850977932136,
elephant,adapter,49,35.40558160128757,0.9894801706149589,21.875265811762773,
flamingo,baseline,49,30.976442972611693,0.9711463156303984,17.1270252845653,
flamingo,adapter,49,33.13970595871343,0.9824087684153169,19.290288270667038,
goat,baseline,49,32.06016088568026,0.9814342024304368,19.01858392328206,
goat,adapter,49,29.824599670457776,0.9758455369956076,16.783022708059576,
hike,baseline,49,42.82954705442625,0.9949850964464764,31.3813161198385,
hike,adapter,49,32.549363245422704,0.9780377515378182,21.101132310834952,
hockey,baseline,49,45.79681830525658,0.9929844723724591,34.123976697833584,
hockey,adapter,49,32.71620688431929,0.9593809420669275,21.043365276896292,
horsejump-high,baseline,49,26.234864234866563,0.9582175366024672,17.099162906946642,
horsejump-high,adapter,49,25.480238511462478,0.9348482717758211,16.344537183542553,
horsejump-low,baseline,49,28.485091923606646,0.96374127480306,17.114738487197524,
horsejump-low,adapter,49,28.093245028221844,0.9618802513579334,16.722891591812722,
kite-surf,baseline,49,31.794350977576556,0.964756967712591,20.000895474930353,
kite-surf,adapter,49,31.378046005840645,0.964909122497327,19.584590503194438,
kite-walk,baseline,49,40.0288591354094,0.9860442536035472,25.680475024724178,
kite-walk,adapter,49,39.861716104557594,0.9888499969385262,25.513331993872374,
libby,baseline,49,35.30868739773182,0.97826633424377,20.409698209585557,
libby,adapter,49,37.73197649110812,0.9890274102593005,22.832987302961858,
lucia,baseline,49,35.157778300869865,0.990308296421267,20.513620159774472,
lucia,adapter,49,33.33156728759271,0.9854899285583847,18.687409146497316,
mallard-fly,baseline,49,30.850861406611006,0.951675241571469,22.366021160249215,
mallard-fly,adapter,49,25.218194331341607,0.899807126708761,16.733354084979812,
mallard-water,baseline,49,29.15194736112339,0.944309705055017,16.25770422350001,
mallard-water,adapter,49,29.4081310148149,0.9522893391732429,16.513887877191518,
motocross-bumps,baseline,49,34.337015255724864,0.9669543958670483,24.19238185260767,
motocross-bumps,adapter,49,29.062267033092397,0.947401607956435,18.917633629975203,
motocross-jump,baseline,37,18.445393983491634,0.7991137784502949,9.231128437051941,
motocross-jump,adapter,37,18.742061263180275,0.7995117680378712,9.527795716740577,
motorbike,baseline,41,18.72109275324467,0.8942905460733572,5.573947568482412,
motorbike,adapter,41,21.837920942597716,0.9140987689269258,8.690775757835459,
paragliding,baseline,49,36.03027867192448,0.9787022355833849,24.066398616792853,
paragliding,adapter,49,34.21480064781739,0.9693701411982952,22.25092059268577,
paragliding-launch,baseline,49,40.19126784344611,0.9858624800762652,28.785972773797695,
paragliding-launch,adapter,49,28.19090985754188,0.9379124018232348,16.78561478789346,
parkour,baseline,49,26.102415706756506,0.9408159146565537,16.413226008686475,
parkour,adapter,49,24.554004892275657,0.9303836241834664,14.864815194205624,
rhino,baseline,49,25.855008502302443,0.9453718049767678,15.018024521683353,
rhino,adapter,49,26.195518474090182,0.9515374050887918,15.358534493471083,
rollerblade,baseline,33,17.761257913379474,0.8747068351223917,6.242649963896879,
rollerblade,adapter,33,31.38852650109123,0.9813778792445482,19.86991855160864,
scooter-black,baseline,41,20.452315248718826,0.9277493494705341,6.992252444015722,
scooter-black,adapter,41,29.118057882477046,0.9814817845369475,15.65799507777395,
scooter-gray,baseline,49,28.777648274626983,0.967947629318184,20.75460077915889,
scooter-gray,adapter,49,23.905437814715018,0.9491165500917403,15.882390319246923,
soapbox,baseline,49,39.833674420948746,0.9959668386963794,25.260689878173526,
soapbox,adapter,49,36.28512028670772,0.992780544141299,21.712135743932503,
soccerball,baseline,45,19.776374058705656,0.8971805433560386,8.589533631372776,
soccerball,adapter,45,20.449357426630712,0.9052278342214046,9.262516999297834,
stroller,baseline,49,33.51296162781202,0.9837104004511412,22.681155253046438,
stroller,adapter,49,28.23251840195361,0.9677171556771649,17.400712027188025,
surf,baseline,49,35.22925845267464,0.9620861391991004,24.6562270808033,
surf,adapter,49,30.39052325320829,0.9568793658091143,19.81749188133695,
swing,baseline,49,35.04951268381191,0.9885714357063763,22.4090483897038,
swing,adapter,49,29.399567017877065,0.9705270000244964,16.75910272376895,
tennis,baseline,49,34.371369224858505,0.9796044007899813,21.346467735740415,
tennis,adapter,49,34.43554603465701,0.9840697564519243,21.41064454553892,
train,baseline,49,29.469668866250487,0.9647628663949844,20.570458479494164,
train,adapter,49,28.149736842734708,0.9672816561065997,19.250526455978378,
