model_label,video,frames,whole_video_psnr,whole_video_ssim,mask_region_psnr,mask_region_ssim,mask_bbox_psnr,mask_bbox_ssim,strict_mask_pixel_psnr,boundary_pixel_psnr,outside_diff_mean,outside_diff_max,outside_region_diff_mean,whole_video_lpips,ewarp
fresh_s2_1000,dog-agility,24,25.126512985195912,0.9422013590209989,18.456505002586145,0.6680897218973797,18.456505002586145,0.6680897218973797,15.42553081860652,26.112343143958924,0.0,0.0,0.0,0.029244757490232587,22.31679528789676
fresh_s2_1000,drift-chicane,24,33.54099476308872,0.9442688390938042,27.30009938668536,0.7420360789277595,27.30009938668536,0.7420360789277595,24.820437230568967,28.839719965136652,0.0,0.0,0.0,0.027514441792542737,2.2054624480559775
fresh_s2_1000,drift-straight,24,30.76949844936752,0.9775260387701845,24.755093535241713,0.8911599695151017,24.755093535241713,0.8911599695151017,21.642028244156077,25.836456343381002,0.0,0.0,0.0,0.018577489846696455,16.535198619670194
fresh_s2_1000,drift-turn,24,32.36384458470492,0.9806814352331505,21.558439171601425,0.7619159056785549,21.558439171601425,0.7619159056785549,19.60657166703483,23.80363059593711,0.0,0.0,0.0,0.014298584234590331,9.32377480658824
fresh_s2_1000,elephant,24,32.7843212927034,0.9851029631854664,22.593363634439896,0.7988043623342747,22.593363634439896,0.7988043623342747,19.252116444941322,24.779919311819715,0.0,0.0,0.0,0.012119665276259184,5.642315210855525
fresh_s2_1000,flamingo,24,34.07916051416378,0.9886178830671414,22.765065252295354,0.8356757073188263,22.765065252295354,0.8356757073188263,20.228523069103602,24.028346962246463,0.0,0.0,0.0,0.00847605753612394,3.629720982407098
fresh_s2_1000,goat,24,31.555198023610483,0.974540863853961,21.732485693214798,0.7676774137590051,21.732485693214798,0.7676774137590051,18.51463352066879,25.11371578264733,0.0,0.0,0.0,0.012159645402183136,12.823997834778352
fresh_s2_1000,hike,24,35.112913618181786,0.9860582822986386,26.26444556394519,0.8472248217253114,26.26444556394519,0.8472248217253114,23.662343365024658,31.17712533538429,0.0,0.0,0.0,0.014058497811978063,5.1936497101965164
fresh_s2_1000,hockey,24,46.93604871272643,0.9954062600343868,37.68591087203516,0.9461527922244279,37.68591087203516,0.9461527922244279,35.26283766590728,37.99730453196221,0.0,0.0,0.0,0.005409530897547181,3.119698892671453
fresh_s2_1000,horsejump-high,24,23.452694711136456,0.9334463955593928,17.102198017780523,0.7446714662967041,17.102198017780523,0.7446714662967041,14.317679906268713,23.446053587266647,0.0,0.0,0.0,0.03650076842556397,9.90908386428719
fresh_s2_1000,horsejump-low,24,28.220141902380075,0.9547153452096394,19.651338484357158,0.7111935712373988,19.651338484357158,0.7111935712373988,16.849558747380062,22.177498527050858,0.0,0.0,0.0,0.01999884269510706,5.236906019727821
fresh_s2_1000,kite-surf,24,34.64299902587069,0.9838011750449084,26.0260260075335,0.8550151721641109,26.0260260075335,0.8550151721641109,22.84992333386961,28.88588844995839,0.0,0.0,0.0,0.011047254510534307,3.706586030919267
fresh_s2_1000,kite-walk,24,43.27878460782575,0.9957036856676645,30.57180146294617,0.7234572367010106,30.57180146294617,0.7234572367010106,28.932224210282243,33.69077596662569,0.0,0.0,0.0,0.004620533426835512,2.972611879079562
fresh_s2_1000,libby,24,42.67923308110549,0.9952844209647659,32.46545472253667,0.9362435270078429,32.46545472253667,0.9362435270078429,27.781796608320423,31.540354800832862,0.0,0.0,0.0,0.0047867848188616335,5.662339071378759
fresh_s2_1000,lucia,24,33.82381727648022,0.9868571036265595,22.481284610628972,0.8213400803194072,22.481284610628972,0.8213400803194072,19.17526344187289,24.885069132748992,0.0,0.0,0.0,0.007502487414361288,5.887945081390765
fresh_s2_1000,mallard-fly,24,27.61965777726421,0.8817551534083252,20.8967938300376,0.44063105481111337,20.8967938300376,0.44063105481111337,19.134699324976545,24.203765691004765,0.0,0.0,0.0,0.02721627887027959,3.9924233949378776
fresh_s2_1000,mallard-water,24,33.46287321267777,0.9591758227373349,23.376569891195903,0.5842241370441346,23.376569891195903,0.5842241370441346,20.56993494844181,24.85602504146206,0.0,0.0,0.0,0.010959102558748176,11.953694179006245
fresh_s2_1000,motocross-bumps,24,36.27288702657155,0.9755465512304508,28.780841224417813,0.862156871576158,28.780841224417813,0.862156871576158,26.127647290720375,31.192168457805565,0.0,0.0,0.0,0.013476085499860346,1.430597753547456
fresh_s2_1000,motocross-jump,24,30.980592081233155,0.9592111739250768,25.054133873408095,0.8484901303410957,25.054133873408095,0.8484901303410957,21.76660617002167,26.990443579861857,0.0,0.0,0.0,0.026471930167948205,16.181857628828805
fresh_s2_1000,motorbike,24,41.38184572469295,0.9950117301225893,30.187401464044154,0.920837769765788,30.187401464044154,0.920837769765788,28.232798053171237,29.89069263523861,0.0,0.0,0.0,0.004392974806251004,3.068400364693092
